,GLoVe,TFiDF,GLoVe + TFiDF,Text Distance,Bert
Glove,1.0,4.803430137390974e-155,4.803430137390974e-155,4.039187183453553e-155,4.803430137390974e-155
TFiDF,4.803430137390974e-155,1.0,1.0,1.821831989445342e-231,4.803430137390974e-155
Glove + TFiDF,4.803430137390974e-155,1.0,1.0,1.821831989445342e-231,4.803430137390974e-155
Text Distance,4.039187183453553e-155,1.821831989445342e-231,1.821831989445342e-231,1.0,4.039187183453553e-155
BeRT,4.803430137390974e-155,4.803430137390974e-155,4.803430137390974e-155,4.039187183453553e-155,1.0
