,GLoVe,TFiDF,GLoVe + TFiDF,Text Distance,Bert
Glove,0.9999999999999996,0.5814948922618487,0.5814948922618487,0.2536492361040998,0.20035521211608703
TFiDF,0.5814948922618487,0.9999999999999996,0.9999999999999996,0.2620615439998424,0.21674230331971892
Glove + TFiDF,0.5814948922618487,0.9999999999999996,0.9999999999999996,0.2620615439998424,0.21674230331971892
Text Distance,0.2536492361040998,0.2620615439998424,0.2620615439998424,0.9999999999999996,0.2721492095915397
BeRT,0.20035521211608703,0.21674230331971892,0.21674230331971892,0.2721492095915397,0.9999999999999996
